Project No,Project Name,Status,Progress,Assigned To,Related To,Start Date,Target End Date,Total Project Samples,Sample # Range,Purchase Order No,General Description,No of Samples Stored,No of Samples Disposed Of,Net Weight of Material,Material Retrieved By,Date Destroyed,Location Destroyed,Method Used,Description Information,Person Responsible,Witnesses Present,Max Project Time (Days),Actual End Date,Work Type,GoogleDocs Link,Created Time,Modified Time,Number of Liquid Samples,Liquid Analysis Description,Est Hrs Analyst Liquid ,Est Hrs Instrument Liquid,Number of Solid Samples,Solid Analysis Description,Est Hrs Instrument Solid ,Est Hrs Analyst Solid ,Number of Gas Samples,Gas Analysis Description,Est Hrs Analyst Gas,Est Hrs Instrument Gas
P8409,StanB 767,9. Billed,100%,BMLC,Contacts::::Stan Bittorf,2011-12-14,2011-12-21,11,AR-20786-01 - AR-20796-01,,,,,,,,,,,,,,2011-12-21,Analysis,,2011-12-19 17:34:29,2012-01-06 18:36:51,,,,,,,,,,,,
P8408,P8408 Terrawest ABCP11-02,9. Billed,100%,BMLC,Contacts::::Erich Bell,2011-12-13,2011-12-22,10,AR-20720-01 - AR-20729-01,,,,,,,,,,,,,,2012-01-09,Analysis,,2011-12-13 21:34:14,2013-05-01 21:02:12,,,,,,,,,,,,
P8407,P8407 Terrawest TWSL11-02,9. Billed,100%,BMLC,Contacts::::Blair Irwin,2011-12-08,2011-12-16,4,AR-20716-01 - AR-20719-01,,,,,,,,,,,,,,2011-12-23,Analysis,,2011-12-13 19:28:23,2013-05-01 21:03:59,,,,,,,,,,,,
P8406,FeedRite Linden Darcy Toles,9. Billed,100%,BMLC,Contacts::::Shannon Fox,2011-12-08,2011-12-15,1,AR-20703-01,,,,,,,,,,,,,,2011-12-20,Analysis,,2011-12-13 03:43:54,2011-12-20 23:20:04,,,,,,,,,,,,
P8405,Ducks Unlimited Wintergrass,9. Billed,100%,BMLC,Contacts::::Autumn Holmes-Saltzman,2011-12-06,2011-12-12,6,AR-20245-01 - AR-20250-01,,Awaiting payment...,,,,,,,,,,,,2011-12-13,Analysis,,2011-12-13 01:22:54,2012-01-06 16:57:18,,,,,,,,,,,,
P8404,CNRL NB 6 Pilot 50-50 Blend  Code Pending,9. Billed,100%,BMLC,Contacts::::Ken Krewulak,2011-12-13,2011-12-15,4,AR-20241-01 - AR-20244-01,,,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-13 00:41:20,2012-01-16 22:18:27,,,,,,,,,,,,
P8403,CNRL N240,9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-12-13,2011-12-15,6,AR-20029-01 - AR-20240-01,,,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-13 00:14:48,2011-12-19 20:52:07,,,,,,,,,,,,
P8402,CNRL NB6 Pilot Code Pending,9. Billed,100%,BMLC,Contacts::::Ken Krewulak,2011-12-12,2011-12-12,3,AR-20232-01 - AR-20234-01,,,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-12 23:41:54,2012-03-20 16:18:01,,,,,,,,,,,,
P8401,CNRL N240,9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-12-12,2011-12-12,2,AR-20230-01 - AR-20231-01,,,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-12 23:15:48,2012-01-13 18:48:25,,,,,,,,,,,,
P8400,CNRL N240,9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-12-12,2011-12-12,3,AR-20227-01 to AR-20229-01,,,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-12 22:30:37,2011-12-19 20:32:37,,,,,,,,,,,,
P8399,CNRL App Code Pending,9. Billed,100%,BMLC,Contacts::::Ken Krewulak,2011-12-12,2011-12-15,1,AR-20226-01,,Waiting for Cost Code from Dave Hallett,,,,,,,,,,,,2011-12-14,Analysis,,2011-12-12 19:36:49,2012-01-16 22:18:56,,,,,,,,,,,,
P8398,"Western Site 1821 Charles Street, Vancouver",9. Billed,100%,admin,Contacts::::Don Blair,2011-12-12,2011-12-13,1,AR-20225-01,,,,,,,,,,,,,,2011-12-12,--none--,,2011-12-12 18:58:53,2012-01-10 20:10:32,,,,,,,,,,,,
P8397,Biolab Teck Nov 24 2011 451 samples,9. Billed,100%,BMLC,Contacts::::Abimbola Abiola,2011-11-24,2011-12-08,451,AR-20251-01 - AR-20701-01,,Client provided samples dissolved to be run on ICP MS,,,,,,,,,,,,2011-12-12,Analysis,,2011-12-12 18:16:11,2012-01-13 18:46:42,,,,,,,,,,,,
P8396,Western Site - Belfor - Tamara Place,9. Billed,100%,BMLC,Contacts::::Adam Jackson,2011-12-09,2011-12-09,1,AR-20192-01,,,,,,,,,,,,,,2011-12-09,Analysis,,2011-12-09 18:51:04,2012-01-06 17:07:32,,,,,,,,,,,,
P8395,Western Site Patterson Day 2,9. Billed,100%,BMLC,Accounts::::Western Site Technologies,2011-12-07,2011-12-08,3,AR-20165-01 to AR-20167-01,,,,,,,,,,,,,,2011-12-08,Analysis,,2011-12-08 22:11:56,2012-01-06 17:08:05,,,,,,,,,,,,
P8394,Mending Homes 11454 8th Street SW Confirmation,9. Billed,100%,BMLC,Contacts::::Mike Warren,2011-12-06,2011-12-08,1,AR-20164-01,,,,,,,,,,,,,,2011-12-08,Analysis,,2011-12-08 21:18:20,2012-01-06 17:03:52,,,,,,,,,,,,
P8393,Feedlot Health WHR,9. Billed,100%,BMLC,Accounts::::Feedlot Health Management Services,2011-12-07,2011-12-13,1,AR-20163-01,,"Finished Dec 12, 2011. No time for manager verification until Dec 15, 2011",,,,,,,,,,,,2011-12-15,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdG5DX0hNN2pCYUg1eC1WdFZIdlhlM0E&hl=en_US#gid=0,2011-12-07 22:28:12,2011-12-19 18:12:57,,,,,,,,,,,,
P8392,Worley Parsons Benchscale Test,9. Billed,100%,BMLC,Accounts::::Worley Parsons MEG,2011-12-06,2012-01-17,4,AR-20159-01 to  AR-20162-01,,Waiting for DOC results that were requested late. On going research project so end date was not clear.,,,,,,,,,,,,2012-01-06,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdEtEeGZQTXhSOFIxSE9rNUQtcFF1ekE#gid=0,2011-12-07 17:50:32,2012-01-17 18:43:08,,,,,,,,,,,,
P8391,P8391 Terrawest JWPI11-03,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-12-06,2011-12-13,9,AR-20150-01 to AR-20158-01,,,,,,,,,,,,,,2011-12-14,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdDVES2kyZ05MQlluUGF5LWVCT1VuUXc&hl=en_US#gid=0,2011-12-06 01:13:23,2013-05-01 21:09:57,,,,,,,,,,,,
P8390,P8390 Terrawest MTSJ11-02,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-12-05,2011-12-09,22,AR-20119-01 to AR-20140-01,,,,,,,,,,,,,,2011-12-13,--none--,,2011-12-05 22:29:01,2013-05-01 21:12:16,,,,,,,,,,,,
P8389,137 West 49th Ave. Van,9. Billed,100%,admin,Contacts::::Don Blair,2011-12-05,2011-12-06,4,AR-20115-01 to AR-20118-01,,,,,,,,,,,,,,2011-12-05,--none--,,2011-12-05 21:07:19,2012-01-10 20:10:23,,,,,,,,,,,,
P8388,"All Seasons StanB 757 Dec 2, 2011",9. Billed,100%,BMLC,Contacts::::Stan Bittorf,2011-12-05,2011-12-12,6,AR-20109-01 to AR-20114-01,,,,,,,,,,,,,,2011-12-12,Analysis,,2011-12-05 20:04:55,2011-12-23 19:34:14,,,,,,,,,,,,
P8387,Western Site  - Enchant  Delacour Acerage,9. Billed,100%,BMLC,Accounts::::Western Site Technologies,2011-12-02,2011-12-05,3,AR-20093-01 to AR-20095-01,,,,,,,,,,,,,,2011-12-05,Analysis,,2011-12-05 16:08:59,2011-12-22 22:23:25,,,,,,,,,,,,
P8386,Feedlot Health FHMS,9. Billed,100%,BMLC,Accounts::::Feedlot Health Management Services,2011-12-02,2011-12-09,28,AR-20061-01 to AR-20089-01,,,,,,,,,,,,,,2011-12-19,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdEpmRE0yNF9QOWhkUDVLU0FhN0d2bHc&hl=en_US#gid=0,2011-12-02 14:49:43,2011-12-19 18:52:02,,,,,,,,,,,,
P8385,Mending Homes 11454 8th Street SW,9. Billed,100%,BMLC,Contacts::::Mike Warren,2011-12-01,2011-12-02,2,AR-20059-01 to AR-20060-01,,,,,,,,,,,,,,2011-12-02,--none--,,2011-12-02 00:20:35,2011-12-22 22:23:04,,,,,,,,,,,,
P8384,Western Site 5760 9 th  Street (Chariot),9. Billed,100%,BMLC,Contacts::::Adam Jackson,2011-12-01,2011-12-02,5,AR-200054-01 to AR-200058-01,,,,,,,,,,,,,,2011-12-02,Analysis,,2011-12-01 23:54:18,2011-12-22 22:22:47,,,,,,,,,,,,
P8383,P8383 Terrawest JWBI11-03,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-12-01,2011-12-07,8,AR-20046-01 to AR-20053-01,,,,,,,,,,,,,,2011-12-08,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdGthTFVtVmVmZWo0Y2dYVmE3Q3VhdFE&hl=en_US,2011-12-01 22:37:58,2013-05-01 21:13:45,,,,,,,,,,,,
P8382,P8382 Terrawest  TWCY11-01,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-12-01,2011-12-05,11,AR-20035-01 to AR-20045-01,,,,,,,,,,,,,,2011-12-08,--none--,,2011-12-01 20:55:53,2013-05-01 21:15:11,,,,,,,,,,,,
P8381,Geoff Hill Skaha,9. Billed,100%,BMLC,Accounts::::Geoff Hill,2011-12-01,2011-12-05,5,AR-20030-01 to AR-20034-01,,,,,,,,,,,,,,2011-12-06,Analysis,,2011-12-01 19:39:40,2012-01-17 18:43:29,,,,,,,,,,,,
P8380,Western Site 7545 Lambeth Dr.,9. Billed,100%,BMLC,Contacts::::Don Blair,2011-11-29,2011-11-30,1,AR-20028-01,,,,,,,,,,,,,,2011-11-30,--none--,,2011-12-01 00:11:27,2011-12-22 22:22:31,,,,,,,,,,,,
P8379,Western Site 137 West 49th Ave,9. Billed,100%,BMLC,Contacts::::Don Blair,2011-11-30,2011-11-30,1,AR-20017-01,,,,,,,,,,,,,,2011-11-30,--none--,,2011-12-01 00:01:10,2011-12-22 22:22:05,,,,,,,,,,,,
P8378,Western Site 2809 West 15th Vancouver,9. Billed,100%,BMLC,Contacts::::Don Blair,2011-11-29,2011-11-30,1,AR-18670-01,,coliform,,,,,,,,,,,,2011-11-30,Analysis,,2011-11-30 23:24:52,2011-12-22 22:21:49,,,,,,,,,,,,
P8377,VI Hazmat MGHAZ-11,9. Billed,100%,BMLC,Accounts::::VI Hazmat,2011-11-29,2011-12-01,5,AR-20014-01 to AR-20018-01,,,,,,,,,,,,,,2011-12-02,--none--,,2011-11-30 21:50:26,2011-12-23 19:30:03,,,,,,,,,,,,
P8376,Western Site 11-02540-EDF,9. Billed,100%,admin,Contacts::::Don Blair,2011-11-30,2011-12-01,2,AR-20012-01 to AR-20013-01,,1560 Burnaby St. Vancouver,,,,,,,,,,,,2011-12-04,Analysis,,2011-11-29 18:56:08,2012-01-10 20:10:10,,,,,,,,,,,,
P8375,Feedlot Health FHMS 1044,9. Billed,100%,BMLC,Contacts::::Patrick Howe,2011-11-29,2011-12-05,8,AR-19999-01 to AR-20006-01,,Wet Chem,,,,,,,,,,,5 days,2011-12-20,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdDV1SktFOEtONGZoQ1VEWkVyQm0yQ3c#gid=0,2011-11-29 04:54:33,2011-12-20 22:56:48,,,,,,,,,,,,
P8374,Western Site - Royal Birch Mannor,9. Billed,100%,BMLC,Contacts::::Don Blair,2011-11-25,2011-11-26,0,AR-19966-01 - AR-19968-01,,incorrectly recorded in LIMS as P8347,,,,,,,,,,,,2011-11-25,--none--,,2011-11-26 19:18:06,2011-12-12 23:54:46,,,,,,,,,,,,
P8373,CFS Nov 24 2011 Soil & Foliage Samples,9. Billed,100%,BMLC,Contacts::::Martin Blank,2011-11-28,2012-01-13,300,AR-19659-01  to AR-19958-01,,"Extensive Soil Analysis, Limited Foliage Analysis. Results verified and realeased to client on Jan 14, 2012. Verification in LIMS took an additional workday.",,,,,,,,,,,,2012-01-14,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdE1MSlZQclJuRjBkckZOSEdpOTU4U1E&hl=en_US#gi,2011-11-25 23:55:02,2012-01-17 00:21:03,,,,,,,,,,,,
P8372,Quarter Circle X Ranch,9. Billed,100%,BMLC,Accounts::::Quarter Circle X Ranch,2011-11-25,2011-11-25,11,AR-19648-01 to AR-19658-01,,,,,,,,,,,,,,2011-12-05,--none--,,2011-11-25 22:34:48,2011-12-22 22:21:09,,,,,,,,,,,,
P8371,"CNRL Britnell Nov 25, 2011",9. Billed,100%,BMLC,Contacts::::Darren Finnamore,2011-11-25,2011-12-02,45,AR-19591-01 to AR-19635-01,,Regular Monthly Shipment of Produced Water Samples,,,,,,,,,,,,2011-12-06,Analysis,,2011-11-25 21:10:27,2011-12-22 22:20:51,,,,,,,,,,,,
P8370,"All Seasons StanB 753 Nov 25, 2011",9. Billed,100%,BMLC,Contacts::::Stan Bittorf,2011-11-25,2011-12-02,8,AR-19583-01  to AR-19590-01,,Regular TKN / pH,,,,,,,,,,,,2011-12-05,Analysis,,2011-11-25 19:45:03,2011-12-22 22:20:30,,,,,,,,,,,,
P8369,Monty Gwynne,9. Billed,100%,BMLC,Accounts::::Monty Gwynne,2011-11-25,2011-11-25,4,AR-19566-01 - AR-19571-01,,"In house results done Dec 2, 2011. Central Labs results arrived Dec 7, 2011. Published Dec 8, 2011",,,,,,,,,,,,2011-12-08,Analysis,,2011-11-25 17:36:25,2012-01-06 16:56:40,,,,,,,,,,,,
P8368,Western Site 315 Canter Place SW,9. Billed,100%,BMLC,Contacts::::Andre Madden,2011-11-24,2011-11-25,1,AR-19565-01,,,,,,,,,,,,,1 Day,2011-11-25,Analysis,,2011-11-24 22:57:57,2011-12-22 22:20:10,,,,,,,,,,,,
P8367,Western Site 454 Montgomery Ave,9. Billed,100%,BMLC,Contacts::::Andre Madden,2011-11-23,2011-11-23,1,AR-19561-01,,Flooring - Bathroom,,,,,,,,,,,,2011-11-23,Analysis,,2011-11-24 22:31:29,2011-12-22 22:19:51,,,,,,,,,,,,
P8366,CNRL NB 6 Pilot,9. Billed,100%,BMLC,Accounts::::Canadian Natural Resources Limited,2011-11-24,2011-11-28,8,AR-19550-01 to AR-19557-01,,,,,,,,,,,,,,2011-11-29,--none--,,2011-11-24 21:25:23,2011-12-22 22:19:34,,,,,,,,,,,,
P8365,CNRL NB 6 Pilot,9. Billed,100%,BMLC,Accounts::::Canadian Natural Resources Limited,2011-11-24,2011-11-28,4,AR19522-01 to AR-19525-01,,,,,,,,,,,,,,2011-11-29,Analysis,,2011-11-24 18:45:52,2011-12-22 22:19:17,,,,,,,,,,,,
P8364,AIrvironment AV1101,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-11-19,2011-11-24,1,AR-19521-01,,,,,,,,,,,,,,2011-11-24,--none--,,2011-11-24 17:22:00,2011-12-22 22:17:56,,,,,,,,,,,,
P8363,P8363 Terrawest JWPI11-01,9. Billed,100%,BMLC,Contacts::::Blair Irwin,2011-11-24,2011-11-29,11,Ar-19508-01 - AR-19520-01,,,,,,,,,,,,,,2011-12-02,--none--,,2011-11-24 14:57:27,2013-05-01 21:16:04,,,,,,,,,,,,
P8362,P8362 Terrawest NSSA11-01,9. Billed,100%,BMLC,Accounts::::TerraWest Environmental Inc,2011-11-24,2011-11-28,11,AR-19495-01 - AR-19505-01,,,,,,,,,,,,,,2011-11-30,--none--,,2011-11-24 03:41:36,2013-05-01 21:17:15,,,,,,,,,,,,
P8361,Western Site Patterson N.E.,9. Billed,100%,BMLC,Contacts::::Andre Madden,2011-11-23,2011-11-24,2,AR-19506-01 to AR-19507-01,,2 Raw Spore Counts,,,,,,,,,,,1 Day,2011-11-24,Analysis,,2011-11-23 22:43:07,2011-12-22 22:16:56,,,,,,,,,,,,
P8360,P8360 TerraWest LSNM11-01,9. Billed,100%,BMLC,Contacts::::Erich Bell,2011-11-20,2011-11-25,5,AR-19430-01 to AR-19434-01,,"water samples for Dissolved selected metals / non-chorinated phenols, hardness, EC and pH",,,,,,,,,,,5 Days,2011-11-29,Analysis,,2011-11-20 00:34:36,2013-05-01 21:19:15,,,,,,,,,,,,
P8359,Mold Squad PO #316816,9. Billed,100%,BMLG,Contacts::::Dieter Krause,2011-11-18,2011-11-18,1,AR-19429-01,,single asbestos sample,,,,,,,,,,,3 Days,2011-11-19,Analysis,,2011-11-18 20:02:05,2011-12-22 22:16:18,,,,,,,,,,,,
P8358,CNRL Polymer QA/QC Nov 17 2011,9. Billed,100%,BMLC,Contacts::::Ken Krewulak,2011-11-18,2011-12-20,13,AR-19482-01 - AR-19494-01,,Polymer QA/QC Analysis. Project given low priority as more pressing work was addressed first (late feedlot health and terrawest files).,,,,,,,,,,,5 Days,2011-12-23,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdDZ3VW85Z3JrYmc2RHl6Y2lLb3VjRkE&hl=en_US#gid=0,2011-11-18 04:56:28,2012-01-15 22:01:21,,,,,,,,,,,,
P8357,Herrera-Hardy Nov 17 2011 sample,9. Billed,100%,BMLC,Contacts::::Adriana Herrera-Hardy,2011-11-18,2011-11-23,1,AR-19428-01,,Horse manure + Bedding + Grass,,,,,,,,,,,5 Days,2011-11-23,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdGN4VUtMckxRTnFtZG55REQxd0lZb3c&hl=en_US,2011-11-18 04:42:44,2011-12-23 19:09:18,,,,,,,,,,,,
P8356,Feedrite Water Nov 16 2011,9. Billed,100%,BMLC,Contacts::::Shannon Fox,2011-11-17,2011-11-21,1,AR-19427-01,,,,,,,,,,,,,5 Days,2011-11-24,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdE9jNmR4T0RCdWxKckFQOFNrcEc1MkE&hl=en_US#gid=2,2011-11-18 04:10:46,2011-12-22 22:15:39,,,,,,,,,,,,
P8355,VI Hazmat Nov 18 2011 Sample,9. Billed,100%,BMLC,Contacts::::Mike King,2011-11-18,2011-11-25,1,AR-19468-01,,Water Sample for BCCSR Hydrocarbons. Delayed 4 hours due to new column installation in GCMS2. (requires re-identification of compounds and resetting retention times),,,,,,,,,,,5 Days,2011-11-24,Analysis,,2011-11-18 03:47:30,2011-12-23 19:08:44,,,,,,,,,,,,
P8354,Bio-Cycle Compost Samples Nov 17 2011,9. Billed,100%,BMLC,Contacts::::Neil Weins,2011-11-18,2011-11-25,4,AR-19423-01 to AR-19426-01,,Compost Analysis,,,,,,,,,,,5 Days,2011-11-25,--none--,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdEoxZVctMkNhcGhhQkdQWndxX1VJNkE#gid=0,2011-11-18 03:18:28,2011-12-23 19:08:13,,,,,,,,,,,,
P8353,Vermi Home Compost Nov 2011,9. Billed,100%,BMLC,Contacts::::Geoff B. Hill,2011-11-18,2011-11-25,3,AR-19420-01  to AR-19422-01,,"Compost Toilet Samples. Finished Nov 24, 2011. Publshed Nov 28, 2011 (Manager too busy to verify)",,,,,,,,,,,5 Days,2011-11-24,Analysis,docs.google.com/spreadsheet/ccc?key=0An9MkFu7Er__dGJ4RDBJWmFOQlNJYkNzWXBJQmtqWkE&hl=en_US#gi,2011-11-18 00:39:41,2011-12-22 22:14:45,,,,,,,,,,,,
P8352,"CNRL Produced Waters Nov 16, 2011 Project4",9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-11-18,2011-11-22,7,AR-19449-01 to AR-19455-01,,,,,,,,,,,,,5 Days,2011-11-28,Analysis,docs.google.com/spreadsheet/ccc?key=0An9MkFu7Er__dDNBbi13QUtPdmlfZko3Ql9MVU12WUE&hl=en_US,2011-11-17 23:46:08,2011-12-22 22:14:25,,,,,,,,,,,,
P8351,"CNRL Produced Waters Nov 16, 2011 Project3",9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-11-17,2011-11-22,14,AR-19435-01 - AR19448-01,,CNRL Produced Waters for Routine Analysis,,,,,,,,,,,5 Days,2011-11-28,Analysis,docs.google.com/spreadsheet/ccc?key=0An9MkFu7Er__dEZ4LXFxWkR5SkNDQ2JQLTIwdTNuN3c#gid=0,2011-11-17 23:23:49,2011-12-22 22:14:06,,,,,,,,,,,,
P8350,"CNRL Produced Waters Nov 16, 2011 Project2",9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-11-17,2011-11-22,8,AR-19404-01 to AR-19411-01,,"7 produced water - routine analysis + 1 sample for routine analysis + oil viscosity @10,15,20,25C",,,,,,,,,,,5 days,2011-11-24,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdEJVOG9LZ3ZxcXZrckVORVZNVWhoOEE#gid=12,2011-11-17 22:11:29,2011-12-22 22:13:36,,,,,,,,,,,,
P8349,"CNRL Produced Waters Nov 16, 2011 Project1",9. Billed,100%,BMLC,Contacts::::Paul Hudson,2011-11-17,2011-11-22,4,AR-19384-01 to AR-19387-01,,4  Produced Water Samples - Regular Analysis,,,,,,,,,,,5 days,2011-11-24,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdE44YUdUVWE0dzFnYVA5T1lSN0U0Znc#gid=4,2011-11-17 20:42:09,2011-12-22 22:13:18,,,,,,,,,,,,
P8347,"StanB 740 All Seasons Nov 17, 2011",9. Billed,100%,BMLC,Contacts::::Stan Bittorf,2011-11-17,2011-11-18,7,AR-19377-01 to AR-19383-01,,7samples for routine analysis + 1 samples for ammonia analysis,,,,,,,,,,,2 days,2011-11-18,Analysis,docs.google.com/spreadsheet/ccc?key=0AsbOIAqh6CYMdDNNQ0cyUUlqZGtMQ2ZqOUV3OHktaGc&hl=en_US,2011-11-16 21:44:49,2013-02-21 05:37:26,,,,,,,,,,,,
P9896,P9896 Worm Casting Analysis,9. Billed,100%,admin,Contacts::::John Sayer,2013-06-03,2013-06-10,1,,,N-P-K-C,0,0,,,,,,,,,,2013-06-07,Analysis,,2013-06-03 20:58:31,2013-06-07 21:28:42,0,,0,0,0,,0,0,0,,0,0
P9897,P9897 TerraWest FCLP13-01,9. Billed,100%,admin,Contacts::::Blair Irwin,2013-06-04,2013-06-11,11,,,"BM-EVA-002 x 6
Lead in Paint x 5",0,0,,,,,,,,,,2013-06-07,Analysis,,2013-06-04 19:34:34,2013-06-07 22:46:55,0,,0,0,0,,0,0,0,,0,0
P9898,P9898 Masterfeeds LP Springdrove Farms,9. Billed,100%,admin,Contacts::::Leigh Shepherd,2013-06-04,2013-06-11,1,,,"BM-AGW-003
Coliforms",0,0,,,,,,,,,,2013-06-11,Analysis,,2013-06-04 19:57:41,2013-06-11 20:24:41,0,,0,0,0,,0,0,0,,0,0
P9899,P9899 Food Analysis,9. Billed,100%,admin,Contacts::::Corrine Anchoris,2013-06-05,2013-06-12,1,,,Sodium,0,0,,,,,,,,,,2013-06-07,Analysis,,2013-06-05 16:13:36,2013-06-07 19:19:21,0,,0,0,0,,0,0,0,,0,0
P9900,P9900 FUSE Inc. CNRL BFW,9. Billed,100%,admin,Contacts::::Chris Friesen,2013-06-10,2013-06-17,14,,,Cations,0,0,,,,,,,,,,2013-06-17,Analysis,,2013-06-06 14:29:35,2013-06-18 16:01:49,0,,0,0,0,,0,0,0,,0,0
P9901,P9901 Mold Squad 611 Royal Ave. SW,9. Billed,100%,admin,Contacts::::Dieter Krause,2013-06-06,2013-06-07,1,,,BM-EVA-002,0,0,,,,,,,,,,2013-06-07,Analysis,,2013-06-06 15:20:10,2013-06-07 21:33:09,0,,0,0,0,,0,0,0,,0,0
P9902,P9902 KaizenLAB SGS,9. Billed,100%,admin,Contacts::::Koshy Malayil,2013-06-06,2013-06-07,5,,,Total Silicon,0,0,,,,,,,,,,2013-06-07,Analysis,,2013-06-06 17:28:02,2013-06-07 22:13:01,0,,0,0,0,,0,0,0,,0,0
P9903,P9903 All Seasons DaleM 17,9. Billed,100%,admin,Contacts::::Dale McArthur,2013-06-06,2013-06-13,6,,,,0,0,,,,,,,,,,2013-06-12,Analysis,,2013-06-06 17:46:04,2013-06-14 19:03:29,0,,0,0,0,,0,0,0,,0,0
P9904,P9904 Town of Chestermere 2-72-09-290,9. Billed,100%,admin,Contacts::::Alison Ciupa,2013-06-06,2013-06-13,6,,,Compost Analysis,0,0,,,,,,,,,,2013-06-12,Analysis,,2013-06-06 20:13:51,2013-06-14 19:04:09,0,,0,0,0,,0,0,0,,0,0
P9906,P9906 Harvest June 6 Regulatory,9. Billed,100%,admin,Contacts::::Denis Boko,2013-06-07,2013-06-14,11,,,"Fecal col x7 
  salmonella 
  foreign 
  sharps 
  C/N 
  pH 
  EC 
  Arsenic 
  Cadmium 
  Chromium 
  Cobalt 
  Copper 
  Lead 
  Mercury 
  Molybdenum 
  Nickel 
  Selenium 
  Zinc",0,0,,,,,,,,,,2013-06-18,Analysis,,2013-06-07 13:57:02,2013-06-18 16:50:20,0,,0,0,0,,0,0,0,,0,0
P9907,P9907 Harvest June 6 Biofilter Reg,9. Billed,100%,admin,Contacts::::Denis Boko,2013-06-07,2013-06-14,4,,,"pH
TS",0,0,,,,,,,,,,2013-06-18,Analysis,,2013-06-07 13:57:39,2013-06-18 16:31:22,0,,0,0,0,,0,0,0,,0,0
P9908,P9908 Harvest June 6 Feedstock,9. Billed,100%,admin,Contacts::::Denis Boko,2013-06-07,2013-06-14,1,,,"pH
C/N
TKN
VS
TS",0,0,,,,,,,,,,2013-06-18,Analysis,,2013-06-07 13:58:12,2013-06-18 16:31:05,0,,0,0,0,,0,0,0,,0,0
P9909,P9909 Harvest June 6 Sales,9. Billed,100%,admin,Contacts::::Denis Boko,2013-06-07,2013-06-14,3,,,,0,0,,,,,,,,,,2013-06-18,Analysis,,2013-06-07 13:58:39,2013-06-18 16:30:46,0,,0,0,0,,0,0,0,,0,0
P9910,P9910 Sunshine Village Press Eff June 6,9. Billed,100%,admin,Contacts::::Dave Armstrong,2013-06-07,2013-06-14,2,,,Discharge Parameters,0,0,,,,,,,,,,2013-06-12,Analysis,,2013-06-07 14:18:13,2013-06-14 19:03:52,0,,0,0,0,,0,0,0,,0,0
P9911,NULL,10. Archived,100%,admin,,,,1,,,,0,0,,,,,,,,,,,--none--,,2013-06-07 18:49:18,2013-06-11 15:33:02,0,,0,0,0,,0,0,0,,0,0
P9912,P9912 Terrawest SEQU13-02,9. Billed,100%,rpincura,Contacts::::Erich Bell,2013-06-07,2013-06-17,8,,,"BM-EVW-006, BM-EVW-007, Total + Dissolved Metals, Routine

NOTE:  emailed invoice to Adam M. as Robyn was away",8,0,,,,,,,,,5,2013-06-17,Analysis,,2013-06-07 23:53:24,2013-06-18 22:25:37,8,"BTEX, LEPH, HEPH, VPH, PAH, Metals,",0,0,0,,0,0,0,,0,0
P9913,P9913 Harvest June 6 Sample 1,9. Billed,100%,admin,Contacts::::Denis Boko,2013-06-07,2013-06-14,1,,,"E. coli by MPN
Salmonella
CCME Metals",0,0,,,,,,,,,,2013-06-18,Analysis,,2013-06-10 16:48:15,2013-06-18 16:30:23,0,,0,0,0,,0,0,0,,0,0
P9914,P9914 TerraWest Environmental DCCR13-01,9. Billed,100%,admin,Contacts::::Erich Bell,2013-06-11,2013-06-11,6,,,BM-EVA-002,0,0,,,,,,,,,,2013-06-11,Analysis,,2013-06-10 18:17:08,2013-06-11 20:24:15,0,,0,0,0,,0,0,0,,0,0
